participant_id,stimulus_no,learning_label,score,attention_label,dichotomous_screener_score
sub-01,1,0,8,0,2
sub-02,1,0,7,0,0
sub-03,1,1,9,0,4
sub-04,1,1,10,0,1
sub-05,1,0,7,0,0
sub-06,1,1,11,0,2
sub-07,1,1,10,0,2
sub-08,1,1,9,0,2
sub-09,1,0,8,0,3
sub-10,1,1,11,0,2
sub-11,1,1,11,0,1
sub-12,1,1,10,1,5
sub-13,1,1,10,0,2
sub-14,1,0,7,0,2
sub-15,1,0,5,0,4
sub-16,1,1,11,0,0
sub-17,1,1,10,0,1
sub-18,1,1,9,0,3
sub-19,1,0,4,0,1
sub-20,1,1,11,0,2
sub-21,1,0,3,0,0
sub-22,1,0,7,0,1
sub-23,1,0,5,0,3
sub-24,1,1,10,0,1
sub-25,1,1,11,1,5
sub-26,1,1,9,0,1
sub-27,1,1,10,0,1
sub-28,1,1,11,0,3
sub-29,1,1,9,0,1
sub-30,1,1,11,0,0
sub-31,1,0,7,0,0
sub-32,1,0,2,0,1
sub-33,1,0,4,0,3
sub-34,1,0,8,0,0
sub-35,1,0,3,0,0
sub-36,1,0,6,0,0
sub-37,1,0,6,0,2
sub-38,1,0,6,0,2
sub-39,1,1,9,1,6
sub-40,1,0,5,0,1
sub-41,1,0,4,0,0
sub-42,1,0,8,0,0
sub-43,1,0,5,0,1
sub-01,2,0,8,0,2
sub-02,2,1,9,0,0
sub-03,2,1,10,0,4
sub-04,2,1,10,0,1
sub-05,2,0,6,0,0
sub-06,2,1,11,0,2
sub-07,2,0,8,0,2
sub-08,2,0,7,0,2
sub-09,2,0,8,0,3
sub-10,2,0,8,0,2
sub-11,2,1,11,0,1
sub-12,2,1,10,1,5
sub-13,2,0,8,0,2
sub-14,2,1,10,0,2
sub-15,2,1,10,0,4
sub-16,2,1,9,0,0
sub-17,2,1,9,0,1
sub-18,2,0,7,0,3
sub-19,2,0,8,0,1
sub-20,2,0,8,0,2
sub-21,2,0,5,0,0
sub-22,2,1,9,0,1
sub-23,2,0,6,0,3
sub-24,2,1,11,0,1
sub-25,2,0,8,1,5
sub-26,2,1,10,0,1
sub-27,2,1,10,0,1
sub-28,2,1,9,0,3
sub-29,2,0,6,0,1
sub-30,2,1,11,0,0
sub-31,2,1,10,0,0
sub-32,2,0,3,0,1
sub-33,2,0,7,0,3
sub-34,2,0,5,0,0
sub-35,2,0,5,0,0
sub-36,2,0,6,0,0
sub-37,2,1,9,0,2
sub-38,2,0,7,0,2
sub-39,2,0,8,1,6
sub-40,2,1,11,0,1
sub-41,2,0,7,0,0
sub-42,2,0,8,0,0
sub-43,2,0,7,0,1
sub-01,3,0,6,0,2
sub-02,3,1,8,0,0
sub-03,3,1,7,0,4
sub-04,3,0,5,0,1
sub-05,3,1,8,0,0
sub-06,3,1,9,0,2
sub-07,3,0,5,0,2
sub-08,3,0,4,0,2
sub-09,3,1,7,0,3
sub-10,3,0,5,0,2
sub-11,3,1,7,0,1
sub-12,3,1,7,1,5
sub-13,3,1,9,0,2
sub-14,3,0,3,0,2
sub-15,3,0,4,0,4
sub-16,3,1,7,0,0
sub-17,3,0,6,0,1
sub-18,3,0,5,0,3
sub-19,3,0,6,0,1
sub-20,3,0,6,0,2
sub-21,3,0,4,0,0
sub-22,3,0,6,0,1
sub-23,3,0,3,0,3
sub-24,3,1,9,0,1
sub-25,3,1,7,1,5
sub-26,3,0,5,0,1
sub-27,3,0,5,0,1
sub-28,3,0,6,0,3
sub-29,3,1,7,0,1
sub-30,3,1,10,0,0
sub-31,3,0,4,0,0
sub-32,3,0,4,0,1
sub-33,3,0,5,0,3
sub-34,3,0,3,0,0
sub-35,3,0,6,0,0
sub-36,3,0,4,0,0
sub-37,3,1,7,0,2
sub-38,3,0,4,0,2
sub-39,3,1,7,1,6
sub-40,3,0,6,0,1
sub-41,3,0,3,0,0
sub-42,3,1,7,0,0
sub-43,3,0,6,0,1
